:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,ASAV,RT,,RT,RCHE,RT,
5,bda8.wav,4,545,0,0,4,262,
4,bda9.wav,4,386,0,0,4,410,
7,bda2.wav,1,247,0,0,1,343,
2,bda3.wav,1,250,0,0,1,565,
5,bda4.wav,1,197,0,0,1,359,
3,bda5.wav,1,236,0,0,1,272,
0,bda6.wav,1,256,0,0,4,575,
6,bda7.wav,1,355,0,0,4,459,
4,bda8.wav,4,533,0,0,1,310,
1,bda9.wav,4,502,0,0,4,356,
6,bda2.wav,1,489,0,0,1,261,
1,bda3.wav,1,257,0,0,1,324,
3,bda4.wav,1,573,0,0,1,251,
7,bda5.wav,1,233,0,0,1,431,
4,bda6.wav,1,180,0,0,1,380,
5,bda7.wav,1,485,0,0,4,251,
2,bda8.wav,4,280,0,0,4,263,
0,bda9.wav,1,253,0,0,4,340,
2,bda2.wav,1,263,0,0,1,374,
6,bda3.wav,1,254,0,0,1,472,
1,bda4.wav,1,592,0,0,1,280,
0,bda5.wav,1,217,0,0,1,504,
5,bda6.wav,1,278,0,0,1,401,
7,bda7.wav,1,410,0,0,1,359,
3,bda8.wav,4,301,0,0,4,312,
4,bda9.wav,4,275,0,0,4,599,
0,bda2.wav,1,438,0,0,1,374,
1,bda3.wav,1,507,0,0,1,293,
3,bda4.wav,1,379,0,0,1,397,
7,bda5.wav,1,507,0,0,1,304,
6,bda6.wav,1,238,0,0,1,423,
4,bda7.wav,4,444,0,0,4,385,
5,bda8.wav,4,630,0,0,4,197,
2,bda9.wav,4,390,0,0,4,192,
5,bda2.wav,4,348,0,0,1,466,
6,bda3.wav,1,499,0,0,1,409,
2,bda4.wav,1,446,0,0,1,442,
7,bda5.wav,1,568,0,0,1,366,
3,bda6.wav,1,495,0,0,4,408,
0,bda7.wav,4,591,0,0,4,233,
4,bda8.wav,4,769,0,0,4,340,
1,bda9.wav,4,380,0,0,4,313,
4,bda2.wav,1,239,0,0,1,504,
5,bda3.wav,1,638,0,0,1,511,
6,bda4.wav,1,804,0,0,1,1094,
3,bda5.wav,1,555,0,0,4,470,
2,bda6.wav,4,661,0,0,1,443,
1,bda7.wav,1,984,0,0,4,459,
7,bda8.wav,4,616,0,0,4,371,
0,bda9.wav,4,339,0,0,4,474,
2,bda2.wav,4,393,0,0,1,383,
7,bda3.wav,1,672,0,0,1,414,
4,bda4.wav,1,310,0,0,1,356,
0,bda5.wav,1,470,0,0,1,416,
1,bda6.wav,1,271,0,0,1,418,
5,bda7.wav,1,582,0,0,4,470,
3,bda8.wav,4,368,0,0,4,278,
6,bda9.wav,1,295,0,0,4,350,
5,bda2.wav,1,308,0,0,1,269,
1,bda3.wav,1,189,0,0,1,353,
3,bda4.wav,1,550,0,0,1,273,
0,bda5.wav,1,340,0,0,1,287,
4,bda6.wav,1,515,0,0,1,260,
2,bda7.wav,1,206,0,0,4,424,
7,bda8.wav,1,230,0,0,1,305,
6,bda9.wav,4,676,0,0,4,337,
3,bda2.wav,1,486,0,0,1,317,
7,bda3.wav,1,415,0,0,1,444,
4,bda4.wav,1,262,0,0,1,451,
5,bda5.wav,1,305,0,0,1,614,
1,bda6.wav,1,459,0,0,1,365,
6,bda7.wav,4,630,0,0,1,438,
2,bda8.wav,4,299,0,0,4,427,
0,bda9.wav,4,736,0,0,4,543,
6,bda2.wav,1,595,0,0,1,419,
3,bda3.wav,1,773,0,0,1,381,
1,bda4.wav,1,607,0,0,1,505,
5,bda5.wav,1,442,0,0,1,388,
2,bda6.wav,1,552,0,0,1,400,
4,bda7.wav,1,621,0,0,4,565,
0,bda8.wav,4,528,0,0,4,579,
7,bda9.wav,4,409,0,0,4,347,
